trial,circuit_type,S_subsystem,p_log,log_p_log,duration,n_measurements,is_measurement_heavy
172,unitary,0.0832827573454954,0.036,-3.3242363405260273,6.099999999999999,2,0
173,measurement,0.0582707661654179,0.097,-2.333044300478754,16.5,6,1
174,unitary,0.0832827573454954,0.045,-3.101092789211817,6.099999999999999,2,0
175,measurement,0.0582707661654179,0.101,-2.2926347621408776,16.5,6,1
176,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
177,measurement,0.0582707661654179,0.095,-2.353878387381596,16.5,6,1
178,unitary,0.0832827573454954,0.034,-3.3813947543659757,6.099999999999999,2,0
179,measurement,0.10202098226596898,0.086,-2.4534079827286295,16.5,6,1
180,unitary,0.0832827573454954,0.048,-3.036554268074246,6.099999999999999,2,0
181,measurement,0.0582707661654179,0.084,-2.4769384801388235,16.5,6,1
182,unitary,0.0832827573454954,0.053,-2.9374633654300153,6.099999999999999,2,0
183,measurement,0.0582707661654179,0.098,-2.322787800311565,16.5,6,1
184,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
185,measurement,0.0582707661654179,0.103,-2.2730262907525014,16.5,6,1
186,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
187,measurement,0.0582707661654179,0.076,-2.577021938695806,16.5,6,1
188,unitary,0.0832827573454954,0.035,-3.3524072174927233,6.099999999999999,2,0
189,measurement,0.0582707661654179,0.105,-2.2537949288246137,16.5,6,1
190,unitary,0.0832827573454954,0.036,-3.3242363405260273,6.099999999999999,2,0
191,measurement,0.0582707661654179,0.084,-2.4769384801388235,16.5,6,1
192,unitary,0.0832827573454954,0.045,-3.101092789211817,6.099999999999999,2,0
193,measurement,0.0582707661654179,0.075,-2.5902671654458267,16.5,6,1
194,unitary,0.0832827573454954,0.038,-3.270169119255751,6.099999999999999,2,0
195,measurement,0.690051920067625,0.086,-2.4534079827286295,16.5,6,1
196,unitary,0.0832827573454954,0.044,-3.123565645063876,6.099999999999999,2,0
197,measurement,0.0582707661654179,0.106,-2.24431618487007,16.5,6,1
198,unitary,0.0832827573454954,0.048,-3.036554268074246,6.099999999999999,2,0
199,measurement,0.0582707661654179,0.095,-2.353878387381596,16.5,6,1
200,unitary,0.0832827573454954,0.04,-3.2188758248682006,6.099999999999999,2,0
201,measurement,0.0582707661654179,0.104,-2.2633643798407643,16.5,6,1
202,unitary,0.0832827573454954,0.039,-3.2441936328524905,6.099999999999999,2,0
203,measurement,0.0582707661654179,0.089,-2.419118909249997,16.5,6,1
