trial,entropy_type,Delta_S,p_log,log_p_log,duration,qubit_count,gate_count
55,high,0.6931471805599454,0.04,-3.2188758248682006,4.45,5,11
56,low,1.110223024625156e-15,0.731,-0.3133418192323586,3.9499999999999993,5,11
57,high,0.6931471805599454,0.054,-2.9187712324178627,4.45,5,11
58,low,1.110223024625156e-15,0.744,-0.2957142441490452,3.9499999999999993,5,11
59,high,0.6931471805599454,0.047,-3.0576076772720784,4.45,5,11
60,low,1.110223024625156e-15,0.765,-0.2678794451556012,3.9499999999999993,5,11
61,high,0.6931471805599454,0.056,-2.8824035882469876,4.45,5,11
62,low,1.110223024625156e-15,0.74,-0.3011050927839216,3.9499999999999993,5,11
63,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
64,low,1.110223024625156e-15,0.761,-0.2731219211204512,3.9499999999999993,5,11
65,high,0.6931471805599454,0.054,-2.9187712324178627,4.45,5,11
66,low,1.110223024625156e-15,0.769,-0.26266430947649305,3.9499999999999993,5,11
67,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
68,low,1.110223024625156e-15,0.746,-0.2930296787783762,3.9499999999999993,5,11
69,high,0.6931471805599454,0.051,-2.9759296462578115,4.45,5,11
70,low,1.110223024625156e-15,0.746,-0.2930296787783762,3.9499999999999993,5,11
71,high,0.6931471805599454,0.043,-3.146555163288575,4.45,5,11
72,low,1.110223024625156e-15,0.737,-0.3051673867928005,3.9499999999999993,5,11
73,high,0.6931471805599454,0.059,-2.8302178350764176,4.45,5,11
74,low,1.110223024625156e-15,0.748,-0.2903523010076598,3.9499999999999993,5,11
75,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
76,low,1.110223024625156e-15,0.736,-0.3065251602532608,3.9499999999999993,5,11
77,high,0.6931471805599454,0.05,-2.995732273553991,4.45,5,11
78,low,1.110223024625156e-15,0.73,-0.31471074483970024,3.9499999999999993,5,11
79,high,0.6931471805599454,0.046,-3.079113882493042,4.45,5,11
80,low,1.110223024625156e-15,0.753,-0.2836900511822435,3.9499999999999993,5,11
81,high,0.6931471805599454,0.042,-3.170085660698769,4.45,5,11
82,low,1.110223024625156e-15,0.739,-0.3024573580339353,3.9499999999999993,5,11
83,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
84,low,1.110223024625156e-15,0.72,-0.3285040669720361,3.9499999999999993,5,11
85,high,0.6931471805599454,0.042,-3.170085660698769,4.45,5,11
86,low,1.110223024625156e-15,0.75,-0.2876820724517809,3.9499999999999993,5,11
87,high,0.6931471805599454,0.053,-2.9374633654300153,4.45,5,11
88,low,1.110223024625156e-15,0.751,-0.28634962721800233,3.9499999999999993,5,11
89,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
90,low,1.110223024625156e-15,0.743,-0.2970592342643779,3.9499999999999993,5,11
91,high,0.6931471805599454,0.05,-2.995732273553991,4.45,5,11
92,low,1.110223024625156e-15,0.75,-0.2876820724517809,3.9499999999999993,5,11
93,high,0.6931471805599454,0.05,-2.995732273553991,4.45,5,11
94,low,1.110223024625156e-15,0.753,-0.2836900511822435,3.9499999999999993,5,11
95,high,0.6931471805599454,0.048,-3.036554268074246,4.45,5,11
96,low,1.110223024625156e-15,0.745,-0.29437106060257756,3.9499999999999993,5,11
97,high,0.6931471805599454,0.049,-3.0159349808715104,4.45,5,11
98,low,1.110223024625156e-15,0.774,-0.2561834053924099,3.9499999999999993,5,11
99,high,0.6931471805599454,0.052,-2.9565115604007097,4.45,5,11
100,low,1.110223024625156e-15,0.772,-0.25877072895736086,3.9499999999999993,5,11
101,high,0.6931471805599454,0.044,-3.123565645063876,4.45,5,11
