trial,T1,T2,error_1q,error_2q,p_phys,S_in,S_out,Delta_S,p_log,log_p_log,duration,qubit_count,gate_count,log_p_phys
262,167.04047827621045,25.74811676754947,0.004386038196152577,0.02691791956733339,0.02691791956733339,0.0,0.16571235797011657,0.16571235797011657,0.085,-2.4651040224918206,3.8,5,8,-3.6149630592375863
263,183.7998255122769,75.65810104661418,0.004989877141613354,0.018184878957133797,0.018184878957133797,0.0,0.12337986277878518,0.12337986277878518,0.061,-2.796881414808826,3.8,5,8,-4.007164856758145
264,144.83161681551732,43.64419937373702,0.002451390539489153,0.03174776769770014,0.03174776769770014,0.0,0.18694578965290726,0.18694578965290726,0.107,-2.234926444520231,3.8,5,8,-3.4499328648490653
265,167.87114016513473,97.81766545371075,0.003864539727936139,0.021470572326199356,0.021470572326199356,0.0,0.1399844763577518,0.1399844763577518,0.066,-2.7181005369557116,3.8,5,8,-3.841072010427673
266,89.67103809221945,64.1336417664727,0.0012700080142646814,0.006413231543438339,0.006413231543438339,0.0,0.05396179946333819,0.05396179946333819,0.024,-3.7297014486341915,3.8,5,8,-5.04939199414389
267,81.7473753043981,35.13453265358185,0.0015519097902343515,0.012446779801445589,0.012446779801445589,0.0,0.09189917914643032,0.09189917914643032,0.046,-3.079113882493042,3.8,5,8,-4.386293340013524
268,53.00448628531888,25.338072333103014,0.0049398397097065545,0.021960883553057257,0.021960883553057257,0.0,0.14238726808136562,0.14238726808136562,0.086,-2.4534079827286295,3.8,5,8,-3.8184924284936757
269,85.18393580886112,57.51700284879891,0.0011694440505388144,0.047548098013561045,0.047548098013561045,0.0,0.248394421527217,0.248394421527217,0.135,-2.0024805005437076,3.8,5,8,-3.046013490505552
270,148.7294174558723,28.29898089421787,0.0021461458013461486,0.04407679707054607,0.04407679707054607,0.0,0.23580137793215084,0.23580137793215084,0.152,-1.8838747581358606,3.8,5,8,-3.121821778516443
271,185.24878041507108,47.790740354208815,0.0031057158071324674,0.009184663358511685,0.009184663358511685,0.0,0.07217334545123189,0.07217334545123189,0.038,-3.270169119255751,3.8,5,8,-4.690220212210272
272,197.56635108086058,34.46833229895901,0.004719385693262116,0.03283268580062606,0.03283268580062606,0.0,0.19153603986736836,0.19153603986736836,0.109,-2.2164073967529934,3.8,5,8,-3.4163307414750244
273,116.1084998191295,50.887281330381136,0.0012302820774170175,0.009649873568269907,0.009649873568269907,0.0,0.07508701992909678,0.07508701992909678,0.028,-3.575550768806933,3.8,5,8,-4.64081046545076
